أحياناً : sometimes : 3*
أعدّ/يعدّ : to prepare : 3*
أغلق/يغلق : to lock : 3*
استيقظ/يستيقظ : to get up : 3*
تاريخ الميلاد : date of birth : 3*
تذكرة/تذاكر : ticket : 3*
حياة/حيوات : life : 3*
خبرة : experience : 3*
دائماً : always : 3*
راتب/رواتب : salary : 3*
رتّب/يرتّب : to tidy : 3*
رجل أعمال : businessman : 3*
سيّدة أعمال : businesswoman : 3*
شركة/شركات : company : 3*
شيء/أشياء : thing : 3*
صحفيّ/صحفيّون : journalist : 3*
طبيب/أطبّاء : doctor : 3*
طموح : ambitious : 3*
عادةً : usually : 3*
عامل/عمّال : worker : 3*
قاد/يقود السيّارة : to drive : 3*
مؤهّل/مؤهّلات : qualification : 3*
محامٍ/محامون : lawyer : 3*
مدير/مدراء : manager : 3*
مساعد/مساعدون : assistant : 3*
مطلوب : wanted : 3*
مندوب/مندوبون : representative : 3*
مهارة/مهارات : skill : 3*
ورق/أوراق : paper : 3*
وظيفة/وظائف : position (job) : 3*
